Year,Day,Hour,Minute,Second,Zone,Type,TypeText,Info
2019,236,15,20,25.75,-0400,0,Generic Event,
2019,236,15,14,06.61,-0400,3,Step Off,
2019,236,15,09,04.57,-0400,9,Pass - Success ,
2019,236,15,09,03.28,-0400,11,1v1 - Success ,
2019,236,15,08,45.20,-0400,9,Pass - Success ,
2019,236,15,08,44.43,-0400,5,Receive,
2019,236,15,06,39.35,-0400,10,1v1 - Lost,
2019,236,15,06,38.32,-0400,5,Receive,
2019,236,15,05,58.13,-0400,10,1v1 - Lost,
2019,236,15,03,59.72,-0400,8,Pass - Lost,
2019,236,15,03,57.38,-0400,4,Intercept,
2019,236,15,01,50.37,-0400,9,Pass - Success ,
2019,236,15,01,49.90,-0400,5,Receive,
2019,236,15,01,43.79,-0400,8,Pass - Lost,
2019,236,15,01,43.36,-0400,5,Receive,
2019,236,15,01,23.59,-0400,9,Pass - Success ,
2019,236,15,01,22.99,-0400,5,Receive,
2019,236,15,00,12.30,-0400,9,Pass - Success ,
2019,236,15,00,11.79,-0400,5,Receive,
2019,236,14,59,29.84,-0400,10,1v1 - Lost,
2019,236,14,57,51.05,-0400,10,1v1 - Lost,
2019,236,14,53,52.64,-0400,10,1v1 - Lost,
2019,236,14,53,30.61,-0400,9,Pass - Success ,
2019,236,14,53,30.01,-0400,5,Receive,
2019,236,14,51,56.91,-0400,17,Team +1,
2019,236,14,48,15.23,-0400,9,Pass - Success ,
2019,236,14,48,14.60,-0400,11,1v1 - Success ,
2019,236,14,46,21.65,-0400,9,Pass - Success ,
2019,236,14,46,20.95,-0400,5,Receive,
2019,236,14,46,18.82,-0400,12,Shots,
2019,236,14,46,17.67,-0400,5,Receive,
2019,236,14,45,13.85,-0400,8,Pass - Lost,
2019,236,14,45,11.34,-0400,5,Receive,
2019,236,14,45,05.35,-0400,2,Step On,
2019,236,14,45,04.82,-0400,0,Generic Event,
2019,236,14,37,18.00,-0400,0,Generic Event,
2019,236,14,36,31.90,-0400,9,Pass - Success ,
2019,236,14,36,30.91,-0400,11,1v1 - Success ,
2019,236,14,35,52.20,-0400,1,Fouls Drawn,
2019,236,14,35,51.23,-0400,5,Receive,
2019,236,14,35,28.27,-0400,8,Pass - Lost,
2019,236,14,35,24.37,-0400,11,1v1 - Success ,
2019,236,14,35,07.47,-0400,12,Shots,
2019,236,14,35,06.18,-0400,5,Receive,
2019,236,14,34,24.75,-0400,9,Pass - Success ,
2019,236,14,34,24.18,-0400,11,1v1 - Success ,
2019,236,14,34,21.66,-0400,9,Pass - Success ,
2019,236,14,34,20.96,-0400,11,1v1 - Success ,
2019,236,14,33,10.85,-0400,14,Key Pass,
2019,236,14,33,09.33,-0400,7,Dibble - Success,
2019,236,14,33,08.23,-0400,4,Intercept,
2019,236,14,32,18.06,-0400,6,Dribble - Lost,
2019,236,14,32,16.50,-0400,4,Intercept,
2019,236,14,31,18.08,-0400,2,Step On,
2019,236,14,28,35.28,-0400,17,Team +1,
2019,236,14,19,57.74,-0400,3,Step Off,
2019,236,14,19,46.32,-0400,12,Shots,
2019,236,14,19,45.22,-0400,5,Receive,
2019,236,14,16,50.31,-0400,10,1v1 - Lost,
2019,236,14,13,29.21,-0400,11,1v1 - Success ,
2019,236,14,13,07.07,-0400,10,1v1 - Lost,
2019,236,14,13,02.69,-0400,5,Receive,
2019,236,14,09,56.91,-0400,11,1v1 - Success ,
2019,236,14,09,54.06,-0400,7,Dibble - Success,
2019,236,14,09,53.12,-0400,5,Receive,
2019,236,14,09,52.18,-0400,9,Pass - Success ,
2019,236,14,09,51.28,-0400,11,1v1 - Success ,
2019,236,14,08,06.94,-0400,9,Pass - Success ,
2019,236,14,08,06.46,-0400,11,1v1 - Success ,
2019,236,14,03,53.67,-0400,9,Pass - Success ,
2019,236,14,03,52.07,-0400,5,Receive,
2019,236,14,02,48.18,-0400,17,Team +1,
2019,236,14,01,16.67,-0400,10,1v1 - Lost,
2019,236,14,00,58.60,-0400,9,Pass - Success ,
2019,236,14,00,57.98,-0400,7,Dibble - Success,
2019,236,14,00,54.78,-0400,5,Receive,
2019,236,14,00,28.95,-0400,2,Step On,
2019,236,14,00,28.35,-0400,0,Generic Event,
